"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","연간학생대출자료수","전년도전체학생수","연간학생대출자수","1인당대출자료수"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000897","무주중앙초등학교","02","공립","N","","6414","317","3867","20.2"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000898","무주초등학교","02","공립","N","","1120","185","172","6.1"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000899","무풍초등학교","02","공립","N","","52","23","23","2.3"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000900","부남초등학교","02","공립","N","","450","11","280","40.9"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000901","부당초등학교","02","공립","N","","100","3","50","33.3"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000903","설천초등학교","02","공립","N","","3112","74","2355","42.1"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000904","안성초등학교","02","공립","N","","831","78","462","10.7"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000905","적상초등학교","02","공립","N","","753","21","632","35.9"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000934","격포초등학교","02","공립","N","","115","76","96","1.5"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000937","곰소초등학교","02","공립","N","","58","42","47","1.4"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000941","동북초등학교","02","공립","N","","930","12","372","77.5"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000944","동진초등학교","02","공립","N","","400","21","200","19"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000947","백룡초등학교","02","공립","N","","70","13","13","5.4"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000948","백산초등학교","02","공립","N","","634","48","192","13.2"
